"No.","Port","Country","Year-Month","Description","Source File","Source Link"
"311","California (LA/Long Beach)","USA","2026-07","[General] CARB fuel & MISP — Only low-sulphur distillate (S<0.1%) accepted; EGCS/scrubber compliance not allowed (CARB Marine Notice 2020-1). Register at misp.io for annual & ballast reports; Biofouling Management Plan updated and paint certificate onboard for Marine Invasive Species inspection.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"312","Charleston","USA","2026-07","[General] TWIC shore access — Shore leave requires TWIC compliance; obtain arrangements from local agent, especially at Charleston. Crew must confirm with Master before going ashore.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"313","Brunswick","USA","2026-07","[General] COFR bridging letter — For Brunswick, New York and US East Coast calls a bridging letter is required; verify COFR at npfc.uscg.mil/cofr. Georgia whale-speed reporting also applies (1 May - 15 Dec).","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"314","New York","USA","2026-07","[General] COFR bridging letter — Bridging letter required for New York / East Coast calls; check COFR status at npfc.uscg.mil/cofr before arrival.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"315","San Francisco","USA","2026-07","[General] Whale speed limit (TSS) — Voluntary participation in San Francisco TSS whale speed restrictions; feed into passage plan and comply during 1 May - 15 Dec.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"316","Alaska","USA","2026-07","[General] 1-Call Alaska & Aleutian ATBA — Notify the 1-Call Alaska provider when transiting; IMO Aleutian Areas To Be Avoided marked on ECDIS, inform 1-Call if entry needed.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"317","Washington Coast (ATBA)","USA","2026-07","[General] IMO Area To Be Avoided off the Washington Coast — reflect in passage plan and keep clear.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"318","New Westminster","Canada","2026-07","[General] Oil-spill response agreements — WCMRC (West) / ECRC (East) agreements required for Canadian calls incl. New Westminster and Tacoma; ERTV & Juan de Fuca Agreement applicable.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"319","Canadian Ports","Canada","2026-07","[General] Whale slowdown & navigation limits — Voluntary slowdown at Swiftsure Bank (Jun-Oct) and Haro Strait/Boundary Pass (Jun-Nov), No-Go Zone at San Juan Island. Canada is an AGM country. Check H&M navigation limits and SSMM 7.33 ice/cold-weather precautions.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"320","Panama Canal","Panama","2026-07","[General] PCSOPEP — Plan approval required (submit 96h before; USD 2,000 penalty for non-compliance); Authorized-Person notification exercise twice per year documented for ACP verification. Minimum transit draft and Panama light fuel to be reviewed.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"321","Panama Canal","Panama","2026-07","[General] Transit equipment requirements — Wheelhouse/pilot A/C must hold 21-26 C and 40-70% RH or disruption charge applies (OP Notice N-1-2023 s.24). Green Vessel Classification: IEEC/EEDI, bow-thruster/displacement ratio and BDN submitted. NPU/PPU fixed RTK antenna procedure applies.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"322","Zeebrugge","Belgium","2026-07","[General] Terminal access — Walking or cycling inside Zeebrugge terminal is prohibited; crew must contact the agency for arranged transport to/from the gate.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"323","Bremerhaven","Germany","2026-07","[General] Freshwater analysis & wastewater — Arrange freshwater analysis (galley, purifier, cabins; 3-6 month interval) before arrival. Port guidelines on vessel wastewater and in-water hull cleaning to be reviewed.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"324","Immingham","United Kingdom","2026-07","[General] HIT berth access — At Humber International Terminal the ship's ramp/gangway may become unusable at low tide; arrange the shore gangway via local agent or HIT to keep safe access.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"325","Southampton","United Kingdom","2026-07","[General] Shore access & heaving lines — Crew walking to town must use designated walkways wearing Hi-Viz vests. Monkey fist must be <500 g without added weights (penalties imposed at Southampton and Amsterdam).","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"326","Piraeus","Greece","2026-07","[General] Compulsory garbage/sludge collection — Per EU directive a constant collection fee for garbage and sludge/bilge applies to all vessels calling Piraeus; discharge per port regulation.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"327","Pyeongtaek","South Korea","2026-07","[General] KIA Terminal / PIRT — Transshipment of unlashed vehicles between KIA Terminal & PIRT per WW instruction INF-12-23. KIA Terminal prohibits shore vehicles >7 t (affects lube-oil supply; plan LO stems in advance).","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"328","Korean Ports","South Korea","2026-07","[General] Korea ECA & domestic requirements — 0.1%S fuel at Incheon, Pyeongtaek-Dangjin, Yeosu-Gwangyang, Busan and Ulsan (from 1h after berthing/anchoring until 1h before departure). While drifting, engine kept ready and proper lights shown. VHF recording (Korea flag/BBCHP), KCG inspections, MLC complaint procedure displayed, ballast reporting to agent.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"329","Japanese Ports","Japan","2026-07","[General] Fishing nets & territorial sea — Check set-nets on the route with local agent before arrival. Foreign ships must not navigate Japanese territorial sea (3NM) / internal waters with restricted actions except emergencies.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"330","Fremantle","Australia","2026-07","[General] Mooring & pilot boarding — Mooring winch brake rendering test at intervals not exceeding 24 months (rules effective 1 Feb 2023). Strict pilot boarding arrangement: photos submitted with 48h NOA; non-compliance cancels the schedule until rectification.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"331","Melbourne","Australia","2026-07","[General] Expanded VTS area — Port of Melbourne VTS area expanded (Victorian NtM 127/2023); comply with VTS reporting and general traffic procedures.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"332","Great Barrier Reef","Australia","2026-07","[General] Reef navigation & Queensland pilotage — Penalties imposed for improper navigation in the Great Barrier Reef. Queensland pilotage: EPL/ShaPoLi must be immediately overridable; fuel changeover completed and propulsion tested 2h before pilot boarding (30 min from berth); no changeover under pilotage.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"333","Auckland","New Zealand","2026-07","[General] Pilot boarding safety — Ports of Auckland safety update: risk of improperly secured pilot ladders; verify rigging and securing before pilot transfer.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"334","New Zealand, All Ports","New Zealand","2026-07","[General] Biofouling (CRMS) & entry — Clean hull required per Craft Risk Management Standard; follow MPI 5 steps (inspection, reports, paperwork, delay notice, pre-departure advice). Poor Knights Islands exclusion zone must be avoided (MSA fine). All seafarers require valid AU/NZ visas.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"335","Durban","South Africa","2026-07","[Security] Stowaway regulation — Stowaways boarding at Durban will not be landed back: if deemed stowaways they sail with the vessel to the next port. Heightened stowaway watch and pre-departure searches required.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"336","Sri Lanka (South TSS)","Sri Lanka","2026-07","[General] Blue-whale routing (WalWil fleet) — Company TSS moved ~15NM south of the current TSS to avoid whale feeding grounds: westbound 05 30N-05 35N, eastbound 05 24N-05 29N. Reflect in passage plan.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
